date,sector,exchange,averageChange
2025-10-23,Basic Materials,NASDAQ,-0.48940588768731086
2025-10-22,Basic Materials,NASDAQ,0.046184957531814064
2025-10-21,Basic Materials,NASDAQ,-0.47770257499798463
2025-10-20,Basic Materials,NASDAQ,0.537877472271342
2025-10-17,Basic Materials,NASDAQ,0.9465416244372138
2025-10-16,Basic Materials,NASDAQ,-2.1273461635619273
2025-10-15,Basic Materials,NASDAQ,-1.991597259041844
2025-10-14,Basic Materials,NASDAQ,2.1320507186767923
2025-10-13,Basic Materials,NASDAQ,0.34919492156619825
2025-10-10,Basic Materials,NASDAQ,-1.3739727763909082
2025-10-09,Basic Materials,NASDAQ,-2.1714761181774733
2025-10-08,Basic Materials,NASDAQ,0.3142404969503909
2025-10-07,Basic Materials,NASDAQ,0.5402344585447416
2025-10-06,Basic Materials,NASDAQ,0.00282846973056472
2025-10-03,Basic Materials,NASDAQ,-0.42356877466132037
2025-10-02,Basic Materials,NASDAQ,1.2096210947826647
2025-10-01,Basic Materials,NASDAQ,-1.3227864949742263
2025-09-30,Basic Materials,NASDAQ,0.47918599237131154
2025-09-29,Basic Materials,NASDAQ,-0.12045623356363722
2025-09-26,Basic Materials,NASDAQ,0.6594865534007344
2025-09-25,Basic Materials,NASDAQ,0.3838788810869076
2025-09-24,Basic Materials,NASDAQ,-1.0420922657966347
2025-09-23,Basic Materials,NASDAQ,0.13523518706703985
2025-09-22,Basic Materials,NASDAQ,-0.03443532461656629
2025-09-19,Basic Materials,NASDAQ,0.3745076173024886
2025-09-18,Basic Materials,NASDAQ,-0.3076898217523216
2025-09-17,Basic Materials,NASDAQ,1.1123537882812728
2025-09-16,Basic Materials,NASDAQ,-0.7434510782544201
2025-09-15,Basic Materials,NASDAQ,-1.0028794877447345
2025-09-12,Basic Materials,NASDAQ,0.3193645860122718
2025-09-11,Basic Materials,NASDAQ,1.8882906309959369
2025-09-10,Basic Materials,NASDAQ,-0.16119825206116767
2025-09-09,Basic Materials,NASDAQ,-0.21750361319431422
2025-09-08,Basic Materials,NASDAQ,0.628976330294706
2025-09-05,Basic Materials,NASDAQ,-0.31801216036265734
2025-09-04,Basic Materials,NASDAQ,0.5399495609981653
2025-09-03,Basic Materials,NASDAQ,0.1858835849915863
2025-09-02,Basic Materials,NASDAQ,-0.5594165036402199
2025-09-01,Basic Materials,NASDAQ,-0.7365989801850548
2025-08-29,Basic Materials,NASDAQ,-0.736598980190295
2025-08-28,Basic Materials,NASDAQ,-0.13398231142508488
2025-08-27,Basic Materials,NASDAQ,0.5838211150158701
2025-08-26,Basic Materials,NASDAQ,1.1355239883660717
2025-08-25,Basic Materials,NASDAQ,-0.8084866951178493
2025-08-22,Basic Materials,NASDAQ,-0.23983633454912612
2025-08-21,Basic Materials,NASDAQ,-0.033389850164500245
2025-08-20,Basic Materials,NASDAQ,-0.13078538173116883
2025-08-19,Basic Materials,NASDAQ,0.25363916953051735
2025-08-18,Basic Materials,NASDAQ,-0.3656489841682542
2025-08-15,Basic Materials,NASDAQ,-0.24435559726257994
2025-08-14,Basic Materials,NASDAQ,0.3188698011135971
2025-08-13,Basic Materials,NASDAQ,0.2834422641620149
2025-08-12,Basic Materials,NASDAQ,0.6547291327307247
2025-08-11,Basic Materials,NASDAQ,-0.09245673286275569
2025-08-08,Basic Materials,NASDAQ,0.77145151435003
2025-08-07,Basic Materials,NASDAQ,-0.7045480457550268
2025-08-06,Basic Materials,NASDAQ,0.10567940385368679
2025-08-05,Basic Materials,NASDAQ,0.4768376114804962
2025-08-04,Basic Materials,NASDAQ,1.6813078680228966
2025-08-01,Basic Materials,NASDAQ,0.15245097730403057
